Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
,Data Scientist,"Roles & ResponsibilitiesResponsibilities
● Design, develop and deploy large scale natural language processing (NLP) and machine learning (ML) solutions
● Tune and troubleshoot NLP/ML solutions in order to keep NLP / ML models up-to-date
● Cooperate with core development team to integrate the solutions with the core system
● Explore creative ideas for existing and future products / services and leverage the power of large amount of data to solve complex NLP and machine learning problems
● Prepare and present documents for new proposed solutions, developed solutions and insights / findings from large amount of textual data

Qualifications
● Strong programming background and familiarity with tools such as Python, R, Tensorflow, Keras, PyTorch, Caffe etc.
● Strong knowledge of Java or other popular ML and analytics languages, andsoftware development skills (development, debugging, testing, deployment, etc.)
● In-depth knowledge of machine learning algorithms and ability to apply them in data driven natural language processing techniques
● Ability to quickly prototype ideas / solutions and perform critical analysis and using creative approaches for solving complex problems
● Excellent communication skills
Education
Degree in Computer Science/Engineering/Statistics/Mathematics",,Entry Level,Internship/Attachment,"Banking and Finance, Information Technology",410 NORTH BRIDGE ROAD 188726
,Senior Data Scientist  /  Data Scientist,"Roles & ResponsibilitiesAre you passionate about building great products? Do you want to redefine the way travellers explore the world? Are you looking to work with one of the coolest technology companies in the region? Keen to be part of this growth journey with a bunch of amazing people? Then Pelago is the place for you!
We are looking for an ambitious and motivated Data Scientist who is excited about staying on the cutting edge of Technology and always keen on learning new tools and technologies to build a great end-to-end customer experience.
WHO ARE WE?
Pelago is an Itinerary focused Travel Marketplace that makes every aspect of a Trip - from Discovery & Organising to Booking & Experiencing - easy, fun and personalised!
Backed by Singapore Airlines, the company is scaling fast to multiple markets across SEAA and well-positioned to disrupt the $250 Billion travel experiences industry.
We are a team of diverse, passionate, empowered, inclusive, authentic and open individuals who share the same values and strive towards a common goal!
WHAT CAN WE OFFER YOU?

A unique opportunity to take end-to-end ownership of building innovative products that deliver real value to travellers.
Platforms to solve real customer problems concerning travel planning & booking with innovative products/services.
An amazing peer group to work with, and ability to learn from the similarly great minds around you.
An opportunity to be an integral part of shaping the company’s growth and culture with a diverse, fun, and dynamic environment with colleagues from different parts of the world.
Competitive compensation and benefits - including work flexibility, insurance, and more!

WHAT WILL YOU DO?
As a Data Scientist at Pelago, you will contribute in our exciting projects in the following ways:

Primarily work to improve discovery of products on Pelago - a marketplace for tours, attractions, activities, and experiences.
Build recommendation engines to enable our customers to find the most relevant products
Improve search experience for our customers
Process real time click-stream data using Kafka
Build, validate, test, and deploy machine learning models with milli-second latency.
Review live performance of the model and keep iterating the model.
Work closely with the rest of Engineering and Product team to collaborate on new features

WHAT EXPERTISE YOU NEED TO HAVE?

Bachelor’s/ Master’s/ PhD in Computer Science or a related technical field, with research experience in ML/AI
3+ years of relevant experience building and deploying machine learning models
High level of proficiency in Python and able to produce production-ready code
Strong foundations in math and statistics
Strong foundations with basic machine learning algorithms - linear regression, decision trees, ensemble models
Prior experience with machine learning problems related Natural Language Processing (NLP)
Prior experience with recommendation systems and/or search engine optimization
Experience with ML frameworks such as TensorFlow, Keras, PyTorch
Ability to query data from relational and non-relational databases using SQL
Experience in one of the cloud services (AWS, GCP or Azure)
Strong communication skills to make complex ML/AI concepts understandable to different streams in the team

If you’re as excited as we are on this journey, do apply directly with a copy of your full resume and portfolio (if any). We'll reach out to you as soon as we can!
Apply now at careers@pelago.com.sg
",,Professional,Permanent,Engineering,"AIRLINE HOUSE, 25 AIRLINE ROAD 819829"
,"Lead Data Scientist, Risk Data Mining, Bric","Roles & ResponsibilitiesTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.  

The Business Risk Integrated Control (BRIC) team is missioned to:  
- Protect ByteDance users, including and beyond content consumers, creators, advertisers; 
- Secure platform health and community experience authenticity; 
- Build infrastructures, platforms and technologies, as well as to collaborate with many cross-functional teams and stakeholders.  

The BRIC team works to minimize the damage of inauthentic behaviors on ByteDance platforms (e.g. TikTok, CapCut, Resso, Lark), covering multiple classical and novel community and business risk areas such as account integrity, engagement authenticity, anti spam, API abuse, growth fraud, live streaming security and financial safety (ads or e-commerce), etc.  

In this team you'll have a unique opportunity to have first-hand exposure to the strategy of the company in key security initiatives, especially in building scalable and robust, intelligent and privacy-safe, secure and product-friendly systems and solutions. Our challenges are not some regular day-to-day technical puzzles -- You'll be part of a team that's developing novel solutions to first-seen challenges of a non-stop evolvement of a phenomenal product eco-system. The work needs to be fast, transferrable, while still down to the ground to making quick and solid differences.  

Responsibilities 
- Enable and contribute to establishing fast and continuous threat response, in partnership with risk data mining engineers and product partners, by building advanced analytical tools and derive data insights. 
- Analyze security and product data to uncover latest attacker techniques and abuse vectors. Generalize them into data mining opportunities in product features; modeling signals, labels and algorithms; measurement and process effectiveness. 
- Enable and contribute to establishing robust, powerful and privacy-aware automated defense, in partnership with risk data mining engineers, by leveraging risk systems, machine learning tools and business resources to build and improve risk control rules, models and products. 
- Abstract and build risk measurements that best connect risk research, risk operation, risk defense and business/community health with data stories, drive strategic and tactical risk control roadmaps with such metrics collaboratively with product/business/engineering stakeholders. 
- Uphold adversarial threat response in a specific business area (e.g. TikTok, growth, live streaming, ads, e-commerce, Lark) to be consistently prompt, rigorous and clean. Define and uphold data science practice excellence and metric-driven decision making process. Bridge technical and communication gaps between engineering, product and business teams.

Qualifications
- Bachelor, master or PhD degree in an advanced field of technology or management or other equivalent majors. E.g. Computer science, statistics, internet security, finance. 
- Proficiency in data analysis and statistical analysis tools such as SQL, R and Python. 
- 4+ years of strong industry experience in predictive analytics and/or statistical modelling. Successful tracking records in solving large scale data mining problems such as relevance, recommendation, anti-fraud and relevant financial problems. 
- Strong technical leadership combined with hands-on data mining and machine learning application experience, and passion to work with ByteDance's data scale and business complexity. Be able to identify, plan and lead to execute both quick win tactics and long term strategies against abusers on our platforms. 
- Strong ownership, communication and collaboration skills to end-to-end own one or more critical platform/community security business fronts that are highly adversarial, ever expanding, and by nature widely cross functional.  

Preferred 
- Experience in risk analytics in multiple areas: account takeover, fraud, spam, abuse and etc. OR strong experience in data/statistical analysis on general internet or financial business. OR deep understanding about modern Machine Learning theory, applications, industry best practice. 
- Consistency at exercising data science best practice in modern internet industry or academic world. Persistence in reasoning with data, interpreting data objectively, and making data-driven decisions. 
- Minimum 3 - 5 years relevant work experience from a large-scale internet business  

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",,Professional,Permanent,Information Technology,1 RAFFLES QUAY 048583
,Data Scientist,"Roles & ResponsibilitiesAre you passionate about building great products? Do you want to redefine the way travellers explore the world? Are you looking to work with one of the coolest technology companies in the region? Keen to be part of this growth journey with a bunch of amazing people? Then Pelago is the place for you!
We are looking for an ambitious and motivated Data Scientist who is excited about staying on the cutting edge of Technology and always keen on learning new tools and technologies to build a great end-to-end customer experience.
WHO ARE WE?
Pelago is an Itinerary focused Travel Marketplace that makes every aspect of a Trip - from Discovery & Organising to Booking & Experiencing - easy, fun and personalised!
Backed by Singapore Airlines, the company is scaling fast to multiple markets across SEAA and well-positioned to disrupt the $250 Billion travel experiences industry.
We are a team of diverse, passionate, empowered, inclusive, authentic and open individuals who share the same values and strive towards a common goal!
WHAT CAN WE OFFER YOU?

A unique opportunity to take end-to-end ownership of building innovative products that deliver real value to travellers.
Platforms to solve real customer problems concerning travel planning & booking with innovative products/services.
An amazing peer group to work with, and ability to learn from the similarly great minds around you.
An opportunity to be an integral part of shaping the company’s growth and culture with a diverse, fun, and dynamic environment with colleagues from different parts of the world.
Competitive compensation and benefits - including work flexibility, insurance, and more! 

WHAT WILL YOU DO?

As a Data Scientist at Pelago, you will contribute in our exciting projects in the following ways:
Primarily work to improve discovery of products on Pelago - a marketplace for tours, attractions, activities, and experiences.
Build recommendation engines to enable our customers to find the most relevant products
Improve search experience for our customers
Process real time click-stream data using Kafka
Build, validate, test, and deploy machine learning models with milli-second latency.
Review live performance of the model and keep iterating the model.
Work closely with the rest of Engineering and Product team to collaborate on new features

WHAT EXPERTISE YOU NEED TO HAVE?

Bachelor’s/ Master’s/ PhD in Computer Science or a related technical field, with research experience in ML/AI
3+ years of relevant experience building and deploying machine learning models
High level of proficiency in Python and able to produce production-ready code
Strong foundations in math and statistics
Strong foundations with basic machine learning algorithms - linear regression, decision trees, ensemble models
Prior experience with machine learning problems related Natural Language Processing (NLP)
Prior experience with recommendation systems and/or search engine optimization
Experience with ML frameworks such as TensorFlow, Keras, PyTorch
Ability to query data from relational and non-relational databases using SQL
Experience in one of the cloud services (AWS, GCP or Azure)
Strong communication skills to make complex ML/AI concepts understandable to different streams in the team

If you’re as excited as we are on this journey, do apply directly with a copy of your full resume and portfolio (if any). We'll reach out to you as soon as we can!
Apply now at careers@pelago.com.sg",,Professional,Permanent,Engineering,"AIRLINE HOUSE, 25 AIRLINE ROAD 819829"
,Senior Data Scientist,"Roles & ResponsibilitiesPrincipal Responsibilities

Data & Architecture Office is a function within Digital Business Services, and it ensures we continue to protect and at the same time unlock the value of data for the bank. We are currently seeking high calibre Data Scientist who is passionate to learn and apply the latest technologies across the full spectrum of data and analytics. This will encompass but not be limited to AI and machine learning algorithms, but also business intelligence and data visualization. The key objective of this role and the team is to help move HSBC Singapore a step closer to data and analytics commercialization by generating the right business insights that drive value realization.
Main responsibilities will be to:

Lead in building the analytics foundation for HSBC Digital Business Services in Singapore
Play a vital role in generating data driven insights by applying AI and machine learning techniques to real-world problems
Play a vital role in leveraging the analytics ecosystem to build compelling analytical dashboards to drive business action
Produce actionable metrics from automating data collection, aggregation, and visualization
Build strong partnerships with internal stakeholders and external vendors to identify business opportunities and improve competitiveness for our business through applications of advance analytical techniques
Represent Singapore Head of DAO/CDO as SME with specialist knowledge and expertise to identify improvements in the field of analytics and data science and development of data architecture roadmap
Support Singapore Head of DAO/CDO in engaging with regulators and the industry to promote collaboration on data management & responsible use of AIDA
Support the Singapore Head of DAO/CDO in driving strategic data and analytics initiatives within the country and region
Work with global and regional stakeholders to design or test the most appropriate analytical solutions for HSBC Singapore

Requirements

Strong knowledge of applied mathematics, statistics, and machine learning
Strong development experience with Python and SQL, particularly across the data science and analytics development pipeline, including data wrangling, exploratory data analysis, data visualization, and model training, deployment, and monitoring
High technical aptitude, problem solving abilities, intellectual curiosity, motivation, and passion for data discovery
Experience working with the Google Cloud ecosystem, QlikSense or Hadoop ecosystem will be a strong advantage
Understanding of data and analytics related regulatory requirements and emerging trends
Excellent numerical skills and attention to detail combined with a strong delivery focus and ability to convey technical concepts into business speak that drives action
Self-motivated and self-managed
Ability to work with a high degree of autonomy combined with a decisive collaborative nature
Strong presentation, written and verbal communication skills
Ability to interact and build relationship with all levels of internal and external stakeholders
Operates well across cultures and in multicultural diverse work environments
",,Professional,Permanent,Banking and Finance,"20 Pasir  Panjang Rd., Mapletree Bus. City 117439"
,Data Scientist (Fintech),"Roles & ResponsibilitiesResponsibilities: 

Conduct research and discover patterns and behaviours on-chain, produce and present insightful report via data-driven approaches.
Work with team to analyzing on-chain and market data, implementing various analytics and data science tools to draw conclusions from the analysis.
Other ad-hoc duties when required 


Requirements:

Bachelor's degree in computer science, engineering, mathematics, statistics or related fields are preferred.
0-2 years' experience as a Data Analyst or Data Scientist
Passionate about the world of Blockchain, DeFi, GameFi able to learn fast, and excited to explore a rapidly developing industry.
Familiar with Python, JavaScript
Familiar with various visualization tools, ability to develop an interactive visualization system is a plus.
Challenge oriented with an enthusiastic mindset to learn new things 


What you can expect:

Unique development opportunities
Fast-paced, result-oriented environment
Supportive team and open-minded culture

Benefits:

Competitive Remuneration
Regular Team Bonding
Flexi Working Hour
Employee Perks 
",,Entry Level,Permanent,Information Technology,Islandwide
,Cyber Security Data Scientist,"Roles & ResponsibilitiesRole

To build cyber security analytics solutions that fulfill internal business requirements as well as the needs of industry partners and customers, familiarize yourself with Client's business domain and objectives.
Develop, test, fine-tune, implement, manage, and document production-ready data analytics models that give cyber security insights.
On a daily basis, work with massive amounts of raw, structured, and unstructured data from internet traffic, logs, and other data sources utilizing Apache Spark, MPP DB, NoSQL, Hadoop, Scala, Python, R, Tableau, and other programming languages.
To better understand the requirements of creating, implementing, and productizing models, collaborate with in-house developers, data engineers, big data architects, visualization engineers, and project managers.
Ensure that the analytics models are in good working order and troubleshoot any problems that may arise.
Manage technical data science initiatives and make periodic improvements to data science methodology and processes.
Manage technical data science initiatives and make periodic improvements to data science methodology and processes.

Requirements

A bachelor's degree in statistics, data science, mathematics, computer science, engineering, or a quantitative subject linked to statistics is required.
Minimum of 5 years of data science experience, preferably in the cyber security field, with experience working with security logs and network data.
Machine learning, experimental design, assessment, and optimization are all areas where I have experience and competence in probability and statistical modeling.
Scala, Python, R, Java, Spark, and SQL are just a few of the languages you should know.
Ability to use visualization and dashboarding tools like Tableau to accomplish rapid prototyping and proof of concept.
TensorFlow, Keras, Caffe, MxNet, Spark, Hadoop, R, and pandas are examples of machine learning and deep learning frameworks that have been used to build projects.
Strong technical background with real-world expertise envisioning, creating, executing, and deploying statistical or machine learning models in a big data context",,Manager,Permanent,Information Technology,"TRIVEX, 8 BURN ROAD 369977"
,Data Scientist (Contract),"Roles & ResponsibilitiesJob Description

Identify, query, manipulate, and analyze multiple complex data sets and analyze data while recommending opportunities to accelerate operational and strategic decision-making
Identify trends using advanced analytical methods to derive actionable insights
Organizing data in usable formats
Develop technical architecture for data applications and analytics platforms
Create strategic dashboards
Apply data governance approach to ensure data is accurate and consistent for effective analysis
Enhance data collection process
Building predictive models and machine learning algorithms
Support reporting and business intelligence needs of the entire GPM team
Strong problem-solver with a drive to learn and master new technologies and techniques

Job Qualifications

Bachelors or Masters Degree or University Degree of IT / Computer Science / Data Science or equivalent.
Typically 1-2 years relevant experience for entry to this level.
Requires in-depth knowledge and experience in job and ability to work independently.
",,Junior Executive,Contract,Purchasing / Merchandising,1 Yishun Ave 7 768923
,Data Scientist  /  Analytics Developer (Ref 24792),"Roles & ResponsibilitiesResponsibilities:
- Build, Develop and extend Fiori, SAC applications using HANA Cloud Platform
- Develop system solutions and provide solutions for various Business/Company SAC Analytics requirements
- Develop functional/technical specification documents and design best in class technical solutions to support SAC analytical/Reporting and dashboard design to support critical business KPIs
- Prepare technical implementation and testing in close collaboration with S4 Business Process Function support team
- Work with Internal Business Process Functioning team to develop and document solution for Fiori, SAC, S4 Environment and immediate hot fixes for Fiori/SAC on critical issues and configuration
- Configure Fiori/SAC Launchpad with catalogues and files

Requirements:
- Bachelor's degree in Engineering
- 2-3 years experience in SAP ABAP/uniFiori/SAC Development/Programming
- Hands on and deep understanding of SAP Analytics Cloud
- Experience with governance, controls, process and procedures, conceptual data modeling, master data management, data standardization and stewardship, information integrity and compliance, and data equity management
- Experience in building complex IU's with UI5, Good filters, association, navigation and batch calls concepts
- Experience in troubleshooting ODATA related issues

Licence No: 12C6060",,Executive,Permanent,Information Technology,Islandwide
,Data Analyst,"Roles & ResponsibilitiesCompany Description:
Our client is a US healthcare company with a broadly diversified business across consumer, pharmaceutical and medical device segments. They have an annual turnover of US$70 billion, with more than 125,000 employees across 60 countries with a heritage of more than 130 years.
Summary:
The Data Analyst role will support the new data governance architecture framework end-to-end – from data sources to data output and focus on uncovering insights in the program. The analyst will support broader business analytics to enable the organization to be developing and align countries on phasing of activities to ultimately ensure products are flowing into the countries, ensuring strong Customer Service and avoid Supply Chain disruption.
Responsibilities:
Data Ownership
1. Develop an understanding of the data source and reporting systems and databases, and associated data relationships.
2. Identify, design, andimplement internal process improvements: automating manual processes, optimizing data delivery for greater scalability.
3. Collaborate with internal stakeholders to ensure development of new data, reporting and analytics capabilities to support EU MDR Program Maturity Roadmap.
Insight Generation
1. Createprescriptive and predictive models using descriptive statistics and data mining techniques to give actionable recommendations to internal stakeholder on how to best drive business performance using data.
2. Leverage analytics to utilize the data pipeline to provide actionable insights into improving customer experience, operational efficiency, and other key business performance metrics.
3. Identify valuable data sources and automate collection processes; undertake preprocessing of structured and unstructured data.
4. Work closely with business to identify issues and use data to propose solutions for effective decision making.
Requirements
• Bachelor’s Degree is required (Information Systems, Computer Science, Computer Engineering, Operations Research, Engineering, IT or related field is preferred); advanced degree is a plus.
• 1-2 years of experience business experience is required; experience in logistics, customer service or supply chain function and roles of data engineer, data scientist or data analyst is highly preferred.
• Knowledge or experience in working with ETL tools and Enterprise Supply Chain IT solutions (SAP, WMS, TMS, etc.) is a plus.
• Experience in developing analytics capabilities and approaches is preferred.
• Data management experience using Excel,Power BI, Alteryx, and experience sourcing, analyzing and structuring data.
• Knowledge and/or experience in programming languages like python or SQL is a plus.
• Experience using data visualization and reporting technologies such as Tableau and Qlik, and designing, implementing and automating a range of reports and dashboards.
• To approach a broad range of stakeholders across the business and gather requirements and develop insightful and commercially beneficial reports and dashboards.
Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents.
Interested parties, please apply through this link https://jnj-apac.talent-pool.com/projects OR click on APPLY button.
Alternatively, you can share your CV at joleyn.chin@randstadsourceright.com.sg
EA License: 94C3609
Reg No: R1440247",,Junior Executive,Contract,Healthcare / Pharmaceutical,Islandwide
